2023-06-28 13:30:09,758 - DisMultGES - INFO -  Epoch: 2 || GPU Occupy: 6704.4915.MiB || Train Loss: 126.2775 ||
2023-06-28 13:30:51,996 - DisMultGES - INFO -  Epoch: 3 || GPU Occupy: 6704.4915.MiB || Train Loss: 112.6815 ||
2023-06-28 13:31:23,931 - DisMultGES - INFO -  Epoch: 4 || GPU Occupy: 6704.4915.MiB || Train Loss: 91.5719 ||
2023-06-28 13:31:55,000 - DisMultGES - INFO -  Epoch: 5 || GPU Occupy: 6704.4915.MiB || Train Loss: 47.4669 ||
2023-06-28 13:32:26,826 - DisMultGES - INFO -  Epoch: 6 || GPU Occupy: 6704.4915.MiB || Train Loss: 26.9353 ||
2023-06-28 13:32:58,448 - DisMultGES - INFO -  Epoch: 7 || GPU Occupy: 6704.4915.MiB || Train Loss: 17.5286 ||
2023-06-28 13:33:30,322 - DisMultGES - INFO -  Epoch: 8 || GPU Occupy: 6704.4915.MiB || Train Loss: 11.3378 ||
2023-06-28 13:34:01,888 - DisMultGES - INFO -  Epoch: 9 || GPU Occupy: 6704.4915.MiB || Train Loss: 10.3484 ||
2023-06-28 13:34:33,988 - DisMultGES - INFO -  Epoch: 10 || GPU Occupy: 6704.4915.MiB || Train Loss: 3.5417 ||
2023-06-28 13:35:05,902 - DisMultGES - INFO -  Epoch: 11 || GPU Occupy: 6704.4915.MiB || Train Loss: 2.5279 ||
2023-06-28 13:35:37,637 - DisMultGES - INFO -  Epoch: 12 || GPU Occupy: 6704.4915.MiB || Train Loss: 3.2169 ||
2023-06-28 13:36:09,422 - DisMultGES - INFO -  Epoch: 13 || GPU Occupy: 6704.4915.MiB || Train Loss: 1.4837 ||
2023-06-28 13:36:41,148 - DisMultGES - INFO -  Epoch: 14 || GPU Occupy: 6704.4915.MiB || Train Loss: 4.4566 ||
2023-06-28 13:37:12,909 - DisMultGES - INFO -  Epoch: 15 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.5447 ||
2023-06-28 13:37:44,982 - DisMultGES - INFO -  Epoch: 16 || GPU Occupy: 6704.4915.MiB || Train Loss: 1.6156 ||
2023-06-28 13:38:16,766 - DisMultGES - INFO -  Epoch: 17 || GPU Occupy: 6704.4915.MiB || Train Loss: 1.7793 ||
2023-06-28 13:38:48,725 - DisMultGES - INFO -  Epoch: 18 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.6283 ||
2023-06-28 13:39:20,663 - DisMultGES - INFO -  Epoch: 19 || GPU Occupy: 6704.4915.MiB || Train Loss: 7.0854 ||
2023-06-28 13:39:52,459 - DisMultGES - INFO -  Epoch: 20 || GPU Occupy: 6704.4915.MiB || Train Loss: 1.7044 ||
2023-06-28 13:40:24,447 - DisMultGES - INFO -  Epoch: 21 || GPU Occupy: 6704.4915.MiB || Train Loss: 1.8334 ||
2023-06-28 13:40:56,287 - DisMultGES - INFO -  Epoch: 22 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.2919 ||
2023-06-28 13:41:28,193 - DisMultGES - INFO -  Epoch: 23 || GPU Occupy: 6704.4915.MiB || Train Loss: 0.1091 ||
2023-06-28 13:42:16,766 - DisMultGES - INFO -  Epoch: 0 || GPU Occupy: 6704.4915.MiB || Train Loss: 129.9762 ||
2023-06-28 13:42:44,907 - DisMultGES - INFO -  Epoch: 1 || GPU Occupy: 6704.4915.MiB || Train Loss: 129.0320 ||
2023-06-28 13:43:16,783 - DisMultGES - INFO -  Epoch: 2 || GPU Occupy: 6704.4915.MiB || Train Loss: 122.5964 ||
2023-06-28 13:43:48,212 - DisMultGES - INFO -  Epoch: 3 || GPU Occupy: 6704.4915.MiB || Train Loss: 96.9155 ||
2023-06-28 13:44:20,133 - DisMultGES - INFO -  Epoch: 4 || GPU Occupy: 6704.4915.MiB || Train Loss: 56.4254 ||
2023-06-28 13:44:51,905 - DisMultGES - INFO -  Epoch: 5 || GPU Occupy: 6704.4915.MiB || Train Loss: 31.0076 ||
2023-06-28 13:45:24,197 - DisMultGES - INFO -  Epoch: 6 || GPU Occupy: 6704.4915.MiB || Train Loss: 12.2158 ||
